id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:15:39 UTC,2.87,7.04,1.64,2.26,0.58
7,2023-06-09 12:19:23 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 12:25:40 UTC,1.63,4.87,1.23,1.63,0.15
19,2023-06-09 12:27:39 UTC,0.01,0.28,0.07,0.09,0.03
25,2023-06-09 12:28:15 UTC,1.63,5.02,1.07,1.82,0.21
28,2023-06-09 12:30:11 UTC,1.96,5.44,1.21,1.90,0.36
46,2023-06-09 12:32:02 UTC,1.43,4.66,1.04,1.52,0.14
56,2023-06-09 12:33:53 UTC,2.35,5.82,1.46,1.94,0.32
58,2023-06-09 12:35:46 UTC,0.92,3.80,0.81,1.37,0.07
67,2023-06-09 12:37:40 UTC,1.20,9.84,1.11,1.49,0.38
81,2023-06-09 12:39:18 UTC,1.14,4.20,0.97,1.40,""
87,2023-06-09 12:39:49 UTC,1.68,5.07,1.20,1.48,0.24
92,2023-06-09 12:41:43 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-06-09 12:42:58 UTC,1.63,5.05,1.08,1.70,0.17
108,2023-06-09 12:43:45 UTC,1.75,7.62,1.57,1.89,0.22
109,2023-06-09 12:45:09 UTC,0.72,3.37,0.69,1.20,0.14
112,2023-06-09 12:46:28 UTC,1.25,4.31,1.08,1.32,0.10
119,2023-06-09 12:47:22 UTC,1.66,4.94,1.18,1.65,0.22
