id,updated_at,area,perimeter,width,length,depth
6,2023-07-09 12:40:49 UTC,2.87,7.04,1.64,2.26,0.79
7,2023-07-02 12:26:21 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-07-02 12:27:00 UTC,1.63,4.87,1.23,1.63,0.15
19,2023-07-02 12:27:28 UTC,0.38,2.37,0.59,0.73,0.21
25,2023-07-02 12:28:00 UTC,1.63,5.02,1.07,1.82,0.21
28,2023-07-02 12:28:26 UTC,1.96,5.44,1.21,1.90,0.36
46,2023-07-02 12:28:51 UTC,1.43,4.65,1.04,1.52,0.17
56,2023-07-02 12:29:07 UTC,0.74,3.26,0.82,1.09,0.09
58,2023-07-02 12:29:39 UTC,0.92,3.79,0.81,1.38,0.07
67,2023-07-02 12:30:08 UTC,1.20,9.83,1.11,1.49,0.38
81,2023-07-02 12:30:45 UTC,1.14,4.20,0.97,1.40,0.10
87,2023-07-02 12:31:10 UTC,1.68,5.06,1.20,1.48,""
92,2023-07-02 12:31:29 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-07-02 12:31:53 UTC,1.63,5.05,1.08,1.70,0.17
108,2023-07-02 12:32:21 UTC,1.75,7.62,1.57,1.89,0.22
109,2023-07-02 12:32:56 UTC,1.52,4.90,1.01,1.75,0.20
112,2023-07-02 12:33:33 UTC,1.25,4.31,1.08,1.32,0.10
119,2023-07-02 12:34:12 UTC,1.66,4.94,1.18,1.65,0.19
133,2023-07-02 12:34:32 UTC,1.09,4.16,0.85,1.54,1.54
137,2023-07-02 12:34:54 UTC,2.99,7.39,1.57,2.34,0.42
150,2023-07-02 12:35:07 UTC,1.62,5.03,1.07,1.74,0.11
151,2023-07-02 12:35:40 UTC,1.27,9.61,1.54,2.05,0.68
182,2023-07-02 12:36:13 UTC,0.97,3.77,0.97,1.21,0.12
184,2023-07-02 12:36:21 UTC,1.61,5.07,1.08,1.73,0.18
187,2023-07-02 12:36:42 UTC,1.52,4.74,1.16,1.62,0.12
188,2023-06-04 11:25:07 UTC,1.85,5.20,1.28,1.73,0.27
190,2023-06-04 11:25:07 UTC,0.52,4.96,0.59,1.14,0.16
