ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
2633,336.32,224.213333333333,210.95,140.633333333333,86.27,57.5133333333333,E-W,side,75,50
2895,296.84,197.893333333333,260.58,173.72,116.69,77.7933333333333,E-W,side,75,50
451,110,73.3333333333333,94,62.6666666666667,,0,,,75,50
774,287.17,191.446666666667,184.35,122.9,53.52,35.68,W-E,side,75,50
865,275.28,183.52,161.76,107.84,30.35,20.2333333333333,W-E,side,75,50
890,248.88,165.92,189.8,126.533333333333,21,14,W-E,side,75,50
957,290.09,193.393333333333,218.78,145.853333333333,46.25,30.8333333333333,W-E,side,75,50
967,233.07,155.38,124.51,83.0066666666667,15.13,10.0866666666667,,,75,50
965,222.9,148.6,167.34,111.56,57.18,38.12,NW-SE,side,75,50
1045,236.3,157.533333333333,132.86,88.5733333333333,23.54,15.6933333333333,E-W,side,75,50
1070,228.71,152.473333333333,154.73,103.153333333333,21.02,14.0133333333333,E-W,side,75,50
1071,207.69,138.46,12.24,8.16,7.61,5.07333333333333,E-W,side,75,50
1084,223.56,149.04,179.56,119.706666666667,35,23.3333333333333,,,75,50
1109,216.6,144.4,152,101.333333333333,13,8.66666666666667,,,75,50
1113,265.24,176.826666666667,213,142,17,11.3333333333333,E-W,side,75,50
1115,253,168.666666666667,159.38,106.253333333333,22,14.6666666666667,,,75,50
1123,250,166.666666666667,177.24,118.16,28.54,19.0266666666667,,,75,50
1150,196.38,130.92,166,110.666666666667,10,6.66666666666667,NW-SE,side,75,50
1494,284.57,189.713333333333,196,130.666666666667,31,20.6666666666667,W-E,side,75,50
1515,264.37,176.246666666667,151,100.666666666667,31,20.6666666666667,W-E,,75,50
2277,,0,,0,,0,,,75,50
1653,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,50
2283,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,50
2327,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,50
2582,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,50
2667,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2741,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2600,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2605,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2699,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2606,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2583,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2898,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2891,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3602,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3935,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3608,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4120,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4214,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4217,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4325,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4232,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4291,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4295,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4322,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4307,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4320,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4373,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4387,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4390,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4388,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4391,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4398,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4406,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4401,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4433,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4448,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4434,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4420,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4481,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4757,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4483,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4584,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4484,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5051,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5432,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5379,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5358,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4477,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4871,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7473,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5788,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
6094,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5790,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7423,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7833,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7520,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8171,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8821,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9566,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9730,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9956,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
10271,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5212,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1208,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7059,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8733,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
